branch,screen,CPU,RAM,memory,graphic card,weight,discount,warranty,fgold,installment,evaluation,answer,star,size,color,cpu_branch,cpu_type,cpu_speed,cpu_core,cpu_thread,ram_type,ram_speed,ram_track,ram_onboard,screen_tech,screen_resolution,screen_plate,screen_scan,screen_coverage,screen_type,speaker,keyboard_type,keyboard_number,keyboard_lamp,battery_type,battery_supply,os,price
asus,15.6,Core i5,16,512,NVIDIA GeForce RTX 2050 4GB,2.3,3000000,24,4.747,1659000,65,106,5,359 x 256 x 22.8 ~ 24.3 mm,Đen,Intel,11400H,2.7,6.0,,DDR4,3200 MHz,2,0,Anti-Glare,1920 x 1080 Pixels,IPS,144,,,,Backlit Chiclet Keyboard,Có,LED,,48 W,windows,17990000
msi,15.6,Core i5,16,512,NVIDIA GeForce RTX 4050 6GB GDDR6,1.86,1500000,12,5.497,1860000,111,76,5,359 x  254 x 21.7 mm,Đen,Intel,12450H,2.0,8.0,12.0,DDR4,3200 MHz,2,0,IPS FHD,1920 x 1080 Pixels,IPS,144,45% NTSC,Màn hình phẳng,3,Bàn phím cứng,Có,LED,,,windows,21490000
asus,15.6,Core i5,16,512,NVIDIA GeForce RTX 3050 4GB,2.2,5000000,24,5.122,1900000,91,116,4,35.4 x 25.1 x 2.24 ~ 2.49 cm,Xám,Intel,12500H,2.5,12.0,16.0,DDR4,3200 MHz,2,0,Anti - Glare,1920 x 1080 Pixels,IPS,144,63% sRGB,LED,,Backlit Chiclet Keyboard,Có,LED,Lithium-ion,200 W,windows,19990000
lenovo,15.6,Ryzen 5,8,512,NVIDIA GeForce RTX 4050 6GB GDDR6,2.32,4000000,24,5.747,2101000,15,48,4,359.6 x 266.4 x 21.8 mm,Xám,AMD,7535HS,3.3,6.0,12.0,DDR5,4800 MHz,1,1,Anti - Glare,1920 x 1080 Pixels,IPS,120,45% NTSC,,,English International Backlit Keyboard,Có,LED,,,windows,21990000
acer,15.6,Core i5,8,512,Intel UHD Graphics,2.1,3000000,12,3.622,1329000,18,131,5,362.3 x 237.4  x 19.9 mm,Đen,Intel,12450H,3.3,8.0,12.0,DDR4,3200 MHz,2,0,Acer ComfyView LED-backlit,1920 x 1080 Pixels,IPS,60,,,,"6-row, multimedia Fn keys",Có,LED,,,windows,13990000
hp,14.0,Ryzen 5,8,256,AMD Radeon Graphics,1.36,1900000,12,3.322,1040000,16,23,4,32.4 x 21.5 x 1.79 cm,Bạc,AMD,7520U,4.3,,,,,0,1,LCD,1920 x 1080 Pixels,IPS,60,,,,English International Backlit Keyboard,Không,Không,,,windows,11390000
asus,14.0,Ryzen 5,16,512,Intel UHD Graphics,1.5,2300000,24,4.147,1498000,20,47,5,31.32 x 22.76 x 1.89 cm,Bạc,AMD,7530U,2.0,,,,,0,1,LED Backlit,1920 x 1200 Pixels,IPS,60,,,,Backlit Chiclet Keyboard,Không,LED,,,windows,16690000
lenovo,15.6,Ryzen 5,16,512,AMD Radeon Graphics,1.58,1700000,24,3.247,1056000,0,21,5,360.2 x 236 x 17.9 mm,Xám,AMD,5500U,2.1,6.0,12.0,DDR4,3200 MHz,0,2,FHD,1920 x 1080 Pixels,TN,60,,Màn hình phẳng,,English International Non-backlit Keyboard,Có,Không,,65 W,windows,11290000
hp,14.0,Ryzen 5,16,512,AMD Radeon Graphics,1.4,1200000,12,3.257,1233000,36,62,5,32.37 x 21.5 x 1.79 cm,Bạc,AMD,7520U,2.8,4.0,8.0,LPDDR5,5500 MHz,0,1,FHD,1920 x 1080 Pixels,SVA,60,45% NTSC,LED,,Chiclet Keyboard,Không,Không,,45 W,windows,13990000
asus,14.0,Ryzen 5,16,512,AMD Radeon Graphics,1.3,2000000,24,3.247,1217000,74,128,4,32.45 x 21.39 x 1.79 cm,Đen,AMD,7520U,2.8,4.0,8.0,LPDDR5,5500 MHz,Không,Có,LED-backlit,1920 x 1080 Pixels,IPS,60,45% NTSC,LED,1,Chiclet Keyboard,Không,Không,Lithium-ion,,windows,12990000
lenovo,15.6,Core i5,16,512,Intel Iris Xe Graphics,1.65,1800000,24,3.322,1225000,20,62,5,359.2 x 236.5 x 19.9 mm,Xám,Intel,1155G7,2.5,4.0,8.0,DDR4,3200 MHz,1,1,Anti - Glare,1920 x 1080 Pixels,IPS,60,,Màn hình phẳng,,Bàn phím cứng,Có,Không,Pin sạc,65 W,windows,13490000
